               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11059,            0.025358,                   0,           0.0021088,             0.51667,           0.0063706,           0.0021401,             0.10314,            0.016011,                   0,              0.0937,              0.0007,              0.0007
                   1,              0.1064,             0.02415,                   0,           0.0021769,             0.53333,            0.010283,           0.0029077,            0.096587,            0.016102,                   0,              0.0865,           0.0014995,           0.0014995
                   2,            0.097657,            0.022649,                   0,           0.0021088,             0.51667,            0.023639,           0.0075226,            0.088513,            0.015373,                   0,            0.079298,           0.0022985,           0.0022985
                   3,            0.095077,            0.021626,                   0,           0.0021769,             0.53333,            0.019189,           0.0062617,            0.087236,            0.014295,                   0,            0.072097,           0.0030969,           0.0030969
                   4,            0.087755,            0.020966,                   0,           0.0019728,             0.48333,            0.028319,            0.010441,            0.090455,            0.012848,                   0,            0.064895,           0.0038949,           0.0038949
                   5,            0.083116,            0.020851,                   0,           0.0019728,             0.48333,            0.018654,           0.0053716,            0.096273,           0.0093894,                   0,            0.057692,           0.0046922,           0.0046922
                   6,            0.083484,            0.018089,                   0,           0.0019728,             0.48333,            0.010872,           0.0039176,             0.10043,            0.007899,                   0,            0.050489,           0.0054891,           0.0054891
                   7,              0.0788,            0.021149,                   0,           0.0020408,                 0.5,           0.0089467,            0.002604,             0.10194,           0.0073147,                   0,            0.043285,           0.0062854,           0.0062854
                   8,            0.077542,            0.019465,                   0,           0.0021769,             0.53333,            0.064517,            0.020013,            0.096727,           0.0078763,                   0,            0.036081,           0.0070813,           0.0070813
                   9,             0.07813,            0.018341,                   0,           0.0023129,             0.56667,            0.037503,             0.01604,            0.091495,           0.0084839,                   0,            0.028877,           0.0078765,           0.0078765
                  10,            0.074635,            0.019381,                   0,            0.023871,             0.43333,            0.068278,            0.017802,            0.079841,           0.0098252,                   0,            0.021671,           0.0086713,           0.0086713
                  11,            0.076068,              0.0184,                   0,            0.018058,             0.36667,            0.089858,            0.022622,            0.081465,           0.0089068,                   0,            0.014466,           0.0094655,           0.0094655
                  12,             0.07506,            0.017838,                   0,           0.0043994,             0.48333,            0.041378,           0.0096845,            0.080112,            0.010045,                   0,           0.0099604,           0.0099604,           0.0099604
                  13,            0.069147,            0.017147,                   0,           0.0031076,                0.55,            0.081399,            0.029535,            0.076334,           0.0099959,                   0,           0.0099604,           0.0099604,           0.0099604
                  14,            0.068799,            0.017815,                   0,           0.0027211,             0.66667,            0.097926,            0.033385,            0.077896,           0.0094087,                   0,           0.0099571,           0.0099571,           0.0099571
                  15,            0.068193,            0.017477,                   0,           0.0056505,             0.63333,             0.14136,            0.046867,            0.076287,            0.010494,                   0,           0.0099538,           0.0099538,           0.0099538
                  16,            0.065334,            0.018119,                   0,           0.0022449,                0.55,             0.19133,            0.076575,            0.074975,           0.0097492,                   0,           0.0099505,           0.0099505,           0.0099505
                  17,             0.06472,            0.016331,                   0,             0.10209,                 0.4,             0.20562,            0.078971,            0.075106,           0.0092421,                   0,           0.0099472,           0.0099472,           0.0099472
                  18,            0.066604,            0.016894,                   0,             0.30031,             0.31667,             0.23702,            0.078654,            0.067642,            0.010196,                   0,           0.0099439,           0.0099439,           0.0099439
